Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store,cluster,map_cluster,avg number of cars
"Sasser Homes, Raleigh, NC",0.002,3,1.9,1.5,1.6,2.0,40.6,31.7,69375.0,757.0,38.1,56.9,29.1,36.2,3.8,25.7,1.2,19.5,32.6,0.0,39.0,70.9,0.0,0.0,0.0,0.06666666666666668,0.06666666666666668,15,6.0,1.5
"Scarsdale, Raleigh, NC",0.037000000000000005,54,1.6,0.8,1.6,27.0,54.9,36.9,81406.0,751.0,42.6,43.0,27.2,32.9,11.6,31.2,2.7,9.2,19.4,0.0,7.1,57.4,0.0,0.0,0.0,0.0,0.0,16,2.0,0.8
"Sedgefield, Raleigh, NC",0.055,1302,2.4,1.3,2.4,663.0,44.1,44.6,65810.0,662.0,29.0,57.3,32.6,38.6,12.7,53.6,1.0,13.6,17.3,2.5,18.7,72.4,0.0,1.0,0.0,0.0,0.0,10,18.0,1.3
"Seminary Lane Townhomes, Raleigh, NC",0.005,2,2.2,4.1,1.7,1.0,52.4,41.7,49125.0,678.0,22.5,66.1,48.4,32.8,10.7,38.4,0.8,13.2,25.1,0.0,78.2,85.3,0.0,0.0,0.0,0.0,0.0,9,17.0,4.1
"Sherwood Forest, Raleigh, NC",0.083,238,2.5,1.3,2.0,130.0,48.9,34.3,35000.0,769.0,24.2,67.6,3.8,41.6,7.6,26.7,0.5,16.6,20.7,3.3,34.2,90.7,0.0,0.0,0.0,0.0,0.0,5,,1.3
"Six Forks, Raleigh, NC",0.281,520,2.5,1.2,2.2,264.0,59.1,57.4,90701.0,1008.0,53.9,39.8,46.4,34.7,5.3,71.7,0.9,3.5,5.7,0.3,4.4,73.5,0.0,0.0,0.0,0.030303030303030307,0.0,2,7.0,1.2
"Sloans Garden Lane, Raleigh, NC",0.001,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,81406.0,751.0,1.6,11.6,9.2,11.9,57.4,19.4,0.7,42.6,43.0,2.7,0.0,19.0,0.0,0.0,0.0,0.0,0.0,16,2.0,1.6462395543175488
"Somerset Place, Raleigh, NC",0.061,90,2.5,1.8,2.2,47.0,37.5,32.9,74803.0,928.0,34.4,38.8,39.6,63.2,26.8,60.8,0.0,8.8,17.3,16.3,19.7,90.6,0.0,0.3333333333333333,0.0,0.0,0.0,4,13.0,1.8
"South Park, Raleigh, NC",0.318,1566,2.7,0.9,1.4,881.0,30.3,34.2,20570.0,545.0,30.1,63.2,6.5,44.5,6.2,15.2,0.5,27.4,35.9,2.9,20.8,41.2,0.5,0.0,0.0,0.0,0.5,17,0.0,0.9
"South Six Forks, Raleigh, NC",0.084,68,1.7,1.2,2.0,31.0,44.7,43.6,50573.0,762.0,58.9,36.7,20.6,40.2,2.8,38.3,1.6,20.3,14.2,0.0,39.9,81.5,0.0,0.0,0.4,0.0,0.0,9,17.0,1.2
"Southall, Raleigh, NC",0.184,113,2.3,1.7,1.8,53.0,40.8,36.0,53929.0,895.0,42.0,45.8,24.7,37.7,10.9,34.1,1.3,24.9,22.6,2.8,18.9,86.6,0.0,0.0,0.0,0.0,0.0,0,12.0,1.7
"Spring Hill, Raleigh, NC",0.006,7,2.4,1.6,2.2,3.0,49.3,51.7,99444.0,1486.0,30.1,65.8,39.5,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.9,56.7,0.0,0.0,0.0,0.0,0.0,19,4.0,1.6
"Spring Pines, Raleigh, NC",0.043,63,2.5,1.8,2.2,33.0,37.5,32.9,74803.0,928.0,34.4,38.8,39.7,63.2,26.8,60.8,0.0,8.8,17.3,16.1,19.8,90.6,0.0,0.0,0.0,0.0,0.0,4,13.0,1.8
"Spring Valley, Raleigh, NC",0.053,64,2.4,1.6,2.2,30.0,49.3,51.7,99444.0,1486.0,30.1,65.8,36.8,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.5,56.7,0.0,0.0,0.0,0.0,0.0,19,4.0,1.6
"Springburg, Raleigh, NC",0.032,46,2.5,1.8,2.2,24.0,37.5,32.9,74803.0,928.0,34.4,38.8,40.2,63.2,26.8,60.8,0.0,8.8,17.3,14.6,20.0,90.6,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,4,13.0,1.8
"Springstone, Raleigh, NC",0.017,21,2.4,1.2,2.2,8.0,40.1,45.4,78250.0,846.0,54.3,40.8,21.9,62.3,1.7,52.7,3.2,19.8,6.4,0.0,11.1,81.6,0.0,0.0,0.0,0.0,0.0,4,13.0,1.2
"Stablegate, Raleigh, NC",0.004,3,1.7,1.6,1.6,1.0,29.0,28.1,60271.0,888.0,36.6,40.3,41.6,26.6,21.5,25.2,1.6,26.9,28.5,0.0,14.9,86.6,0.0,0.0,0.0,0.0,0.1,10,18.0,1.6
"Stafford Townhomes, Raleigh, NC",0.026000000000000002,37,1.6,0.7,1.6,18.0,54.9,36.9,81406.0,751.0,42.6,43.0,27.3,32.9,11.6,31.2,2.7,9.2,19.4,0.0,7.1,57.4,0.16666666666666666,0.0,0.0,0.0,0.0,16,2.0,0.7
"Starview, Raleigh, NC",0.031,70,2.6,1.8,2.1,36.0,53.1,44.2,147857.0,2081.0,38.2,56.0,37.7,50.1,5.5,67.8,0.3,8.0,9.3,0.0,1.6,56.8,0.0,0.0,0.0,0.0,0.0,1,1.0,1.8
"State Street, Raleigh, NC",0.004,16,2.8,0.8,1.8,9.0,37.0,32.5,18021.0,565.0,24.1,67.3,10.0,54.2,7.9,22.4,0.8,23.2,32.5,0.0,24.0,46.3,0.0,0.0,0.0,0.3333333333333333,0.0,17,0.0,0.8
"Stillwater, Raleigh, NC",0.004,5,2.4,1.3,2.5,2.0,29.3,32.6,46923.0,672.0,39.7,52.0,43.3,55.3,7.1,54.6,1.1,16.4,18.9,0.0,1.1,62.2,0.0,0.0,0.0,0.0,0.0,8,15.0,1.3
"Stillwood, Raleigh, NC",0.07,43,2.3,1.7,1.8,20.0,40.8,36.0,53929.0,895.0,42.0,45.8,24.9,37.7,10.9,34.1,1.3,24.9,22.6,0.0,19.0,86.6,0.0,0.0,0.0,0.0,0.0,0,12.0,1.7
