Neighborhood,avg household size,med age females,med age males,pct families with children,pct married couple,pct never married females > 15,pct never married males > 15,pct single mother,med household income,med rent,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store
"Laurel Hills, Raleigh, NC",9.9,42.8,43.1,34.9,54.1,14.4,15.5,3.1,115631.0,1207.0,66.8,0.0,0.0,1.0,0.0,0.0
"Laurel Woods Townhomes, Raleigh, NC",2.3,39.0,41.1,35.0,54.1,14.4,15.5,3.1,123293.0,1207.0,66.9,0.3333333333333333,0.0,0.0,0.0,0.0
"Leesville Road, Raleigh, NC",2.6,42.3,44.4,33.3,68.1,7.6,6.4,5.3,110083.0,1031.0,78.6,0.0,0.0,0.0,0.0,0.0
"Leonard Place, Raleigh, NC",2.6,44.3,37.0,38.2,59.7,12.5,18.4,1.2,94000.0,745.0,59.7,0.0,0.0,0.0,0.125,0.0
"Lincoln Terrace, Raleigh, NC",2.3,50.7,39.2,29.0,30.8,15.2,19.5,15.0,41903.0,621.0,75.5,0.2,0.0,0.0,0.0,0.0
"Lincoln Villas, Raleigh, NC",2.5,37.5,32.9,40.4,60.8,8.8,17.3,20.1,74803.0,928.0,90.6,0.0,0.0,0.0,0.0,0.0
"Lions Way, Raleigh, NC",2.1,31.8,34.6,21.5,27.1,22.6,16.0,25.8,44079.0,671.0,79.0,0.1,0.0,0.0,0.1,0.0
"Lisbon Woods, Raleigh, NC",2.6,41.8,38.3,15.0,41.8,19.8,17.7,1.2,48750.0,651.0,73.9,0.0,0.0,0.0,0.0,0.0
"Little Lake Hill, Raleigh, NC",2.6,44.3,37.0,39.8,59.7,12.5,18.4,1.2,94000.0,745.0,59.7,0.0,0.0,0.0,0.0,0.0
"Lockwood, Raleigh, NC",2.3,35.3,36.7,25.3,30.5,27.9,16.9,18.2,47130.0,795.0,61.6,0.0,0.0,0.0,0.0,1.0
"Longview, Raleigh, NC",3.3,35.1,41.3,15.7,27.8,36.0,20.2,16.6,40114.0,839.0,77.1,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
"Lowden Street, Raleigh, NC",2.5,38.0,40.3,41.9,69.1,10.6,10.9,3.7,103438.0,798.0,89.1,0.25,0.25,0.0,0.0,0.0
"Lyndhurst Manor, Raleigh, NC",2.2,52.4,41.7,44.4,38.4,13.2,25.1,71.8,49125.0,678.0,85.3,0.0,0.0,0.0,0.1111111111111111,0.0
"Lynn Road, Raleigh, NC",2.1,41.7,43.2,38.1,40.6,14.9,10.0,14.6,70521.0,843.0,69.9,0.0,0.0,0.0,0.0,0.0
"Lyon Park, Raleigh, NC",1.8,55.6,49.1,48.4,40.9,18.4,18.5,7.4,77708.0,789.0,65.4,0.0,0.0,0.0,0.0,0.0
"Madison Park, Raleigh, NC",2.2,40.9,40.8,26.6,29.9,22.9,16.6,5.5,55078.0,861.0,78.1,0.0,0.0,0.0,0.0,0.0
"Madonna Acres, Raleigh, NC",2.4,20.3,20.1,1.7,6.6,60.5,27.5,10.8,30398.0,556.0,93.1,0.0,0.0,0.0,0.0,0.0
