Neighborhood,avg household size,med age females,med age males,pct families with children,pct married couple,pct never married females > 15,pct never married males > 15,pct single mother,med household income,med rent,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store
"Glenwood, Raleigh, NC",1.5,33.8,39.8,41.2,20.1,23.2,26.5,2.8,50824.0,855.0,85.9,0.09090909090909093,0.0,0.0,0.0,0.0
"Golden Forest, Raleigh, NC",2.6,41.8,38.3,15.0,41.8,19.8,17.7,1.2,48750.0,651.0,73.9,0.0,0.0,0.0,0.0,0.5
"Grayson, Raleigh, NC",2.6,42.3,44.4,34.0,68.1,7.6,6.4,5.4,110083.0,1031.0,78.6,0.2,0.0,0.0,0.0,0.0
"Green Acres, Raleigh, NC",2.9,35.4,25.4,16.1,49.3,24.1,16.7,4.1,57859.0,841.0,64.3,0.25,0.0,0.25,0.0,0.0
"Green Acres, Raleigh, NC",2.9,35.4,25.4,16.1,49.3,24.1,16.7,4.1,57859.0,841.0,64.3,0.25,0.0,0.25,0.0,0.0
"Greenbriar, Raleigh, NC",2.4,42.4,26.6,15.4,39.9,21.7,20.7,18.0,52948.0,841.0,72.4,0.0,0.0,0.0,0.06666666666666668,0.0
"Greenbrook Park, Raleigh, NC",3.6,23.5,25.4,6.0,17.2,24.5,31.0,13.8,33648.0,717.0,87.3,0.0,0.0,0.0,0.0,0.09090909090909093
"Greencastle, Raleigh, NC",3.6,23.5,25.4,6.0,17.2,24.5,31.0,13.9,33648.0,717.0,87.3,0.3333333333333333,0.0,0.0,0.0,0.0
"Greenpark Towns, Raleigh, NC",3.6,23.5,25.4,6.1,17.2,24.5,31.0,14.0,33648.0,717.0,87.3,0.5,0.0,0.0,0.0,0.0
"Greenwood Farms, Raleigh, NC",2.5,40.9,44.1,27.1,55.5,15.3,19.2,3.2,68036.0,698.0,56.1,0.0,0.0,0.0,0.0,0.0
"Grey, Raleigh, NC",1.0,0.0,0.0,24.9,22.6,42.0,45.8,0.0,53929.0,895.0,5.5,0.0,0.0,0.0,0.041666666666666664,0.0
"Greystone Manor, Raleigh, NC",2.1,59.9,57.1,46.8,72.5,3.2,5.5,14.2,99318.0,872.0,73.4,0.0,1.0,0.0,0.0,0.0
"Greystone Park, Raleigh, NC",2.1,59.9,57.1,46.8,72.5,3.2,5.5,14.2,99318.0,872.0,73.4,0.0,0.0,0.25,0.0,0.0
"Grove Park, Raleigh, NC",2.4,34.8,41.9,34.6,35.2,18.6,19.6,8.3,81179.0,961.0,65.8,1.0,0.0,0.0,0.0,0.0
"Guard Hill, Raleigh, NC",2.6,46.2,39.1,35.2,61.5,9.6,14.3,3.5,70461.0,1186.0,74.2,0.0,0.1111111111111111,0.0,0.0,0.0
"Hamlin, Raleigh, NC",2.4,49.3,51.7,38.9,65.0,12.6,13.3,5.8,99444.0,1486.0,56.7,0.0,0.0,0.5,0.0,0.0
"Hampton Oaks, Raleigh, NC",2.6,35.9,36.5,33.5,58.2,15.8,9.2,5.1,95333.0,1383.0,85.0,0.0,0.0,0.2222222222222222,0.0,0.0
"Hearthridge, Raleigh, NC",2.1,59.9,57.1,47.1,72.5,3.2,5.5,14.3,99318.0,872.0,73.4,0.0,0.75,0.25,0.0,0.0
"Hedingham Village, Raleigh, NC",0.5,9.2,8.1,25.2,34.1,24.9,22.6,19.2,12115.0,201.0,86.6,0.0,0.5,0.0,0.0,0.0
"Hemsbury, Raleigh, NC",2.3,39.0,41.1,35.9,54.1,14.4,15.5,3.2,123293.0,1207.0,66.9,0.0,1.0,0.0,0.0,0.0
"Heritage Heights, Raleigh, NC",2.1,31.8,34.6,21.4,27.1,22.6,16.0,25.6,44079.0,671.0,79.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
"Herndon Village, Raleigh, NC",2.2,52.4,41.7,48.4,38.4,13.2,25.1,78.2,49125.0,678.0,85.3,0.0,0.0,0.0,0.0,0.0
"Hi Mount, Raleigh, NC",0.1,2.0,1.8,19.0,32.9,14.6,9.9,15.9,3546.0,43.0,75.6,0.0,0.0,0.0,0.0,0.1
"Hickory Hills, Raleigh, NC",2.3,41.1,37.8,21.2,36.0,15.0,24.1,11.7,69576.0,1069.0,74.1,0.5,0.0,0.0,0.0,0.0
"Hickory Hollow, Raleigh, NC",2.3,33.1,32.8,14.6,31.8,16.8,30.4,12.3,52589.0,834.0,81.7,0.0,0.0,0.0,0.0,0.0
"Hickory Meadows, Raleigh, NC",2.6,41.8,38.3,15.1,41.8,19.8,17.7,1.2,48750.0,651.0,73.9,0.0,0.0,0.0,0.0,0.5
"Highland Forest, Raleigh, NC",2.6,53.1,44.2,38.5,67.8,8.0,9.3,1.6,147857.0,2081.0,56.8,0.0,0.0,0.0,0.0,0.0
"Highland Forest, Raleigh, NC",2.6,53.1,44.2,38.5,67.8,8.0,9.3,1.6,147857.0,2081.0,56.8,0.0,0.0,0.0,0.0,0.0
"Highland Gardens, Raleigh, NC",2.4,29.3,32.6,41.6,54.6,16.4,18.9,1.1,46923.0,672.0,62.2,0.0,0.0,0.0,0.0,0.2
"Hillcrest, Raleigh, NC",2.9,29.9,32.8,14.0,39.9,20.9,19.5,18.3,40893.0,787.0,73.1,0.0,0.0,0.0,0.0,0.0
"Holly Ridge, Raleigh, NC",3.1,50.7,48.6,25.4,51.8,19.9,9.2,18.7,72696.0,1066.0,81.9,0.0,0.0,0.0,0.0,0.0
"Holston Lane, Raleigh, NC",2.6,26.8,27.2,10.5,16.6,28.1,29.8,23.3,28650.0,665.0,37.5,0.0,0.0,0.0,0.0,0.0
"Home Acres, Raleigh, NC",2.2,52.4,41.7,45.8,38.4,13.2,25.1,73.9,49125.0,678.0,85.3,0.0,0.0,0.0,0.0,0.3333333333333333
"Homeplace, Raleigh, NC",3.6,23.5,25.4,6.0,17.2,24.5,31.0,13.8,33648.0,717.0,87.3,0.0,0.0,0.0,0.0,0.0
"Hope Valley, Raleigh, NC",3.0,44.4,39.0,40.1,60.8,8.8,17.3,20.0,88588.0,1099.0,90.6,0.0,0.0,0.0,0.0,0.2
"Hunters Creek, Raleigh, NC",3.4,38.7,34.7,23.0,52.3,14.1,23.6,8.7,87468.0,937.0,75.5,0.16666666666666666,0.0,0.0,0.0,0.0
"Hunters Crossing, Raleigh, NC",2.8,32.1,28.8,23.3,52.3,14.1,23.6,8.8,72538.0,777.0,75.5,0.25,0.0,0.0,0.0,0.0
"Hymettus Woods, Raleigh, NC",2.6,44.3,37.0,38.2,59.7,12.5,18.4,1.2,94000.0,745.0,59.7,0.0,0.0,0.0,0.0,0.0
"Indian Hills, Raleigh, NC",2.8,32.1,28.8,23.1,52.3,14.1,23.6,8.7,72538.0,777.0,75.5,0.5,0.0,0.0,0.0,0.0
"Ivy Hall, Raleigh, NC",2.3,40.8,36.0,25.4,34.1,24.9,22.6,19.4,53929.0,895.0,86.6,0.0,0.0,0.0,0.0,0.0
"Joe Louis Park, Raleigh, NC",2.6,33.6,26.8,5.2,14.4,20.4,27.4,32.3,25982.0,610.0,67.5,0.0,0.0,0.0,0.0,0.0
"Jordan, Raleigh, NC",2.3,41.3,42.4,31.1,57.8,13.4,16.8,7.1,76395.0,1371.0,59.2,0.0,0.0,0.0,0.0,0.0
"Kenly Court, Raleigh, NC",2.6,53.1,44.2,37.7,67.8,8.0,9.3,1.6,147857.0,2081.0,56.8,0.0,0.0,0.0,0.0,0.0
"Kentwood, Raleigh, NC",2.8,32.1,28.8,23.0,52.3,14.1,23.6,8.7,72538.0,777.0,75.5,0.3333333333333333,0.0,0.0,0.0,0.0
"Kings Mill, Raleigh, NC",2.6,44.8,48.3,37.5,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.02,0.0,0.0,0.02,0.0
"Kingsboro, Raleigh, NC",2.1,37.2,35.8,31.4,30.0,25.9,16.5,14.3,54432.0,774.0,56.3,1.0,0.0,0.0,0.0,0.0
"Kingsland, Raleigh, NC",2.6,42.3,44.4,32.8,68.1,7.6,6.4,5.2,110083.0,1031.0,78.6,0.0,0.0,0.0,0.0,0.0
"Kingwood Forest, Raleigh, NC",2.2,52.4,41.7,44.4,38.4,13.2,25.1,71.7,49125.0,678.0,85.3,0.0,0.0,0.0,0.0,0.0
"Kirkwood Park, Raleigh, NC",2.6,44.8,48.3,39.3,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.0,0.0,0.0,0.25,0.0
"Lacrosse Pointe, Raleigh, NC",2.5,32.6,30.9,24.0,40.0,17.8,17.6,11.3,34719.0,693.0,84.7,0.0,0.0,0.0,0.0,0.0
"Lafayette, Raleigh, NC",2.6,39.4,41.7,20.0,28.9,16.3,17.1,20.8,52992.0,802.0,79.6,0.0,0.0,0.0,0.0,0.0
"Lafayette, Raleigh, NC",2.6,39.4,41.7,20.0,28.9,16.3,17.1,20.8,52992.0,802.0,79.6,0.0,0.0,0.0,0.0,0.0
"Lake Boone Place, Raleigh, NC",2.6,50.7,46.4,32.8,71.8,4.7,7.3,1.2,156285.0,2081.0,69.1,0.0,0.0,0.0,0.3333333333333333,0.0
"Lake Forest, Raleigh, NC",2.5,32.6,30.9,23.8,40.0,17.8,17.6,11.1,34719.0,693.0,84.7,0.0,0.0,0.0,0.0,0.0
"Lake Johnson Harbour, Raleigh, NC",2.8,32.1,28.8,23.1,52.3,14.1,23.6,8.7,72538.0,777.0,75.5,0.0,0.3333333333333333,0.0,0.0,0.0
"Lakemont, Raleigh, NC",2.3,41.1,37.8,35.7,58.2,10.0,14.4,4.1,69576.0,1224.0,73.5,0.0,0.5,0.0,0.0,0.0
"Lakestone, Raleigh, NC",2.5,52.5,55.5,36.5,65.1,12.6,13.3,5.4,143687.0,1524.0,56.7,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
"Lakewood, Raleigh, NC",3.0,28.6,38.9,17.2,25.7,37.2,21.1,12.0,33155.0,644.0,78.2,0.0,0.0,0.0,0.0,0.0
"Lambshire Downs, Raleigh, NC",2.6,44.8,48.3,37.5,77.1,7.1,6.0,0.8,120583.0,853.0,78.7,0.0,0.0,0.0,0.0,0.0
"Landfall North, Raleigh, NC",2.6,42.3,44.4,34.2,68.1,7.6,6.4,5.4,110083.0,1031.0,78.6,0.0,0.5,0.0,0.0,0.0
"Lassiter, Raleigh, NC",2.9,61.3,64.9,39.4,69.9,11.4,9.4,5.7,168014.0,1783.0,59.7,0.2,0.0,0.2,0.0,0.0
