Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,American Restaurant,Athletics & Sports,Bakery,Bar,Baseball Field,Basketball Court,Beach,Brewery,Bus Station,Business Service,Café,Chinese Restaurant,Coffee Shop,Construction & Landscaping,Convenience Store,Cosmetics Shop,Dessert Shop,Disc Golf,Discount Store,Dog Run,Fast Food Restaurant,Food,Food Truck,Furniture / Home Store,Gas Station,Golf Course,Grocery Store,Gym,Gym / Fitness Center,Home Service,Hotel,Italian Restaurant,Lake,Lawyer,Massage Studio,Mexican Restaurant,Music Venue,Nightlife Spot,Park,Pharmacy,Pizza Place,Playground,Pool,Pub,Rental Car Location,Sandwich Place,Social Club,Spa,Supermarket,Tennis Court,Trail,Video Store,Water Park
"Banbury Woods Place, Raleigh, NC",0.001,3,1.9,1.6,1.9,1.0,48.3,33.3,91731.0,869.0,38.7,53.3,42.1,32.9,7.7,38.3,0.3,11.1,28.4,0.0,11.2,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Battery Heights, Raleigh, NC",0.087,328,2.4,0.8,1.7,136.0,44.0,34.3,35630.0,613.0,28.8,64.2,8.5,35.3,6.4,18.8,0.5,19.0,25.2,2.3,30.5,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beasley Heights, Raleigh, NC",0.004,1,2.2,4.1,1.7,1.0,52.4,41.7,49125.0,678.0,22.5,66.1,76.1,32.8,10.7,38.4,0.8,13.2,25.1,0.0,122.9,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bedford Heights, Raleigh, NC",0.011,48,2.3,1.4,1.9,18.0,21.8,45.4,28214.0,1309.0,38.7,53.3,22.8,32.5,7.7,27.8,0.3,37.9,12.3,0.0,20.6,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bellevue Terrace, Raleigh, NC",0.08900000000000001,109,2.4,1.6,2.2,52.0,49.3,51.7,99444.0,1486.0,30.1,65.8,36.7,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.4,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bembridge, Raleigh, NC",0.03,73,2.6,1.8,1.9,29.0,35.9,36.5,95333.0,1383.0,46.2,43.3,33.7,57.8,10.1,58.2,0.4,15.8,9.2,0.0,5.1,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bennett Place, Raleigh, NC",0.018000000000000002,48,2.6,1.6,2.1,21.0,44.8,48.3,120583.0,853.0,52.6,40.0,37.6,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
"Bennett Woods, Raleigh, NC",0.012,38,2.1,1.1,1.4,17.0,31.8,34.6,44079.0,671.0,37.6,55.3,21.6,50.3,5.9,27.1,1.2,22.6,16.0,0.0,25.8,79.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Biltmore Hills, Raleigh, NC",0.16399999999999998,2111,23.8,1.9,3.2,942.0,43.2,37.2,51299.0,734.0,22.5,66.1,23.7,49.9,10.7,37.3,0.8,16.5,15.2,4.1,15.4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Blenheim Place, Raleigh, NC",0.095,185,1.8,1.1,2.0,90.0,55.6,49.1,77708.0,789.0,38.2,56.0,48.5,23.1,5.5,40.9,0.3,18.4,18.5,0.0,7.4,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
