Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,American Restaurant,Athletics & Sports,Bakery,Bar,Baseball Field,Basketball Court,Beach,Brewery,Bus Station,Business Service,Café,Chinese Restaurant,Coffee Shop,Construction & Landscaping,Convenience Store,Cosmetics Shop,Dessert Shop,Disc Golf,Discount Store,Dog Run,Fast Food Restaurant,Food,Food Truck,Furniture / Home Store,Gas Station,Golf Course,Grocery Store,Gym,Gym / Fitness Center,Home Service,Hotel,Italian Restaurant,Lake,Lawyer,Massage Studio,Mexican Restaurant,Music Venue,Nightlife Spot,Park,Pharmacy,Pizza Place,Playground,Pool,Pub,Rental Car Location,Sandwich Place,Social Club,Spa,Supermarket,Tennis Court,Trail,Video Store,Water Park
"Chadleigh Pointe, Raleigh, NC",0.019,46,2.2,2.0,1.8,24.0,37.3,34.4,76516.0,740.0,54.2,39.7,33.6,49.9,5.2,44.3,0.9,13.0,20.1,0.0,12.8,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chestnut Hills, Raleigh, NC",0.239,352,2.3,1.4,2.1,175.0,43.6,39.7,93413.0,895.0,50.3,43.6,35.7,47.4,4.3,55.6,1.9,13.6,12.5,1.2,8.3,72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
"Chippenham Square, Raleigh, NC",0.017,47,2.6,1.6,2.1,21.0,44.8,48.3,120583.0,853.0,52.6,40.0,37.6,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Churchill Woods, Raleigh, NC",0.012,35,2.6,1.7,2.1,18.0,44.3,37.0,94000.0,745.0,39.7,52.0,38.7,50.0,7.1,59.7,1.1,12.5,18.4,0.0,1.2,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Claridge, Raleigh, NC",0.006999999999999999,9,2.4,1.2,2.2,3.0,40.1,45.4,78250.0,846.0,54.3,40.8,22.5,62.3,1.7,52.7,3.3,19.8,6.4,0.0,11.4,81.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
"Cobblestone, Raleigh, NC",0.083,30,2.3,1.1,1.6,13.0,37.8,36.2,54200.0,795.0,39.7,36.8,25.2,59.3,21.5,51.8,2.0,19.9,9.2,0.0,18.5,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coley, Raleigh, NC",0.237,464,2.4,1.2,2.1,234.0,59.8,51.1,131622.0,1754.0,38.2,56.0,41.5,39.7,5.5,57.4,0.3,11.4,12.3,0.2,2.5,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"College Crest, Raleigh, NC",0.013,97,2.4,1.5,1.7,40.0,34.8,41.9,81179.0,961.0,38.7,53.3,34.0,42.3,7.7,35.2,0.3,18.6,19.6,0.0,8.2,65.8,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.04,0.04,0.0,0.0
"Collingwood, Raleigh, NC",0.003,5,2.4,1.6,1.7,2.0,33.2,36.9,40338.0,827.0,25.3,67.5,5.3,34.0,6.7,31.8,0.5,33.4,18.0,0.0,40.6,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colony Woods, Raleigh, NC",0.059,85,1.6,0.8,1.6,43.0,54.9,36.9,81406.0,751.0,42.6,43.0,27.2,32.9,11.6,31.2,2.7,9.2,19.4,0.0,7.0,57.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Community Dr, Raleigh, NC",0.002,2,3.6,1.0,1.6,1.0,42.2,27.7,29928.0,737.0,24.2,67.6,20.8,32.1,7.6,19.6,0.5,24.4,25.2,0.0,18.2,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cooke St, Raleigh, NC",0.006,40,23.0,0.9,1.8,17.0,33.2,44.6,29514.0,522.0,29.6,67.7,27.8,39.5,1.6,29.7,1.0,24.5,13.6,0.0,19.2,79.6,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cooke Street, Raleigh, NC",0.001,7,23.0,0.9,1.8,3.0,33.2,44.6,29514.0,522.0,29.6,67.7,29.7,39.5,1.6,29.7,1.0,24.5,13.6,0.0,20.6,79.6,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cottonwood, Raleigh, NC",0.047,48,3.9,1.6462395543175488,2.1,20.0,41.5,34.1,62288.0,1014.0,3.5,26.9,18.6,65.8,2.3,45.8,16.4,23.4,18.4,53.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Country Club View, Raleigh, NC",0.033,37,3.0,1.2,2.8,17.0,31.0,31.4,33114.0,769.0,20.4,57.5,10.3,54.1,21.1,16.6,1.0,28.1,29.8,14.8,22.9,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Country Club Villas, Raleigh, NC",0.105,297,2.3,1.9,2.3,144.0,43.0,46.3,154249.0,943.0,35.0,60.5,34.9,48.6,3.1,49.2,1.4,16.5,16.2,0.0,7.8,71.8,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Courtney Place, Raleigh, NC",0.001,2,2.5,1.8,2.2,1.0,37.5,32.9,74803.0,928.0,34.4,38.8,45.1,63.2,26.8,60.8,0.0,8.8,17.3,0.0,22.4,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crabtree Heights, Raleigh, NC",0.034,40,2.3,1.6,1.9,21.0,33.1,32.8,52589.0,834.0,30.7,45.0,14.6,48.7,22.7,31.8,1.6,16.8,30.4,0.0,12.3,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0
"Crabtree Woods, Raleigh, NC",0.049,32,28.0,2.0,1.7,11.0,55.2,49.4,90982.0,1215.0,36.9,42.8,31.5,31.9,18.9,39.2,1.4,30.6,14.0,0.0,16.7,64.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Creekside, Raleigh, NC",0.043,14,3.0,3.0,2.4,7.0,55.1,45.9,105689.0,1257.0,36.9,58.2,25.3,62.7,4.3,71.6,0.6,9.9,13.5,0.0,13.6,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crestview, Raleigh, NC",0.022,87,2.6,2.0,1.8,45.0,46.2,39.1,70461.0,1186.0,46.3,49.2,35.5,50.6,2.7,61.5,1.8,9.6,14.3,0.0,3.6,74.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
"Cross Link Trace, Raleigh, NC",0.023,9,2.2,4.1,1.7,5.0,52.4,41.7,49125.0,678.0,22.5,66.1,45.3,32.8,10.7,38.4,0.8,13.2,25.1,0.0,73.2,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crown Crossing, Raleigh, NC",0.006999999999999999,2,2.2,4.1,1.7,1.0,52.4,41.7,49125.0,678.0,22.5,66.1,65.7,32.8,10.7,38.4,0.8,13.2,25.1,0.0,106.1,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crown Oaks, Raleigh, NC",0.077,122,2.2,1.4,1.8,54.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.5,32.6,10.2,29.9,0.4,22.9,16.6,0.9,5.4,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0
"Curthay Place, Raleigh, NC",0.003,8,36.0,1.3,2.0,3.0,29.3,23.3,42756.0,767.0,25.9,60.2,13.8,62.7,12.7,30.0,1.2,31.3,17.1,0.0,21.6,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
"Dacian Valley, Raleigh, NC",0.037000000000000005,66,3.6,1.0,1.6,35.0,42.2,27.7,29928.0,737.0,24.2,67.6,15.0,32.1,7.6,19.6,0.5,24.4,25.2,4.8,13.1,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dairyland, Raleigh, NC",0.039,63,2.5,1.4,2.2,34.0,47.2,41.3,122970.0,1192.0,39.3,53.1,40.0,53.4,6.7,59.5,0.9,13.2,15.2,1.7,2.9,58.8,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dandridge Downs, Raleigh, NC",0.013,5,2.2,4.1,1.7,3.0,52.4,41.7,49125.0,678.0,22.5,66.1,47.0,32.8,10.7,38.4,0.8,13.2,25.1,0.0,76.0,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Darien Place, Raleigh, NC",0.005,6,2.4,1.3,2.5,3.0,29.3,32.6,46923.0,672.0,39.7,52.0,43.3,55.3,7.1,54.6,1.1,16.4,18.9,0.0,1.1,62.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dartmoor, Raleigh, NC",0.016,25,2.2,1.4,1.8,11.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.8,32.6,10.2,29.9,0.4,22.9,16.6,0.0,5.5,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
"Delta Ridge, Raleigh, NC",0.1,11,25.0,1.7,1.7,6.0,43.6,36.5,77689.0,1014.0,48.6,38.8,42.3,37.7,11.4,30.3,1.1,12.6,39.9,0.0,7.4,96.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
"Dillmark Townhomes, Raleigh, NC",0.006999999999999999,2,2.8,1.3,2.5,1.0,38.2,42.1,51613.0,704.0,27.1,64.5,42.3,57.8,7.8,49.2,0.6,14.7,15.5,0.0,5.3,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dixie Forest, Raleigh, NC",0.021,76,2.5,1.9,2.3,38.0,42.2,33.7,86354.0,897.0,38.8,53.2,27.3,28.2,7.7,27.4,0.4,16.6,34.3,0.0,13.7,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Drewry Hills, Raleigh, NC",0.26,320,2.6,1.6,2.2,152.0,45.6,48.1,120112.0,1486.0,30.1,65.8,36.4,41.5,3.4,65.1,0.6,12.6,13.3,0.3,5.4,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
"Dutchman Creek, Raleigh, NC",0.08199999999999999,29,2.8,1.3,2.5,13.0,38.2,42.1,51613.0,704.0,27.1,64.5,32.3,57.8,7.8,49.2,0.6,14.7,15.5,0.0,4.1,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eagle Point, Raleigh, NC",0.018000000000000002,49,2.5,1.3,2.1,23.0,32.6,30.9,34719.0,693.0,30.5,43.2,23.9,60.2,25.0,40.0,1.3,17.8,17.6,6.8,11.2,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
"Eastgate, Raleigh, NC",0.141,180,2.1,1.5,1.9,92.0,36.3,36.6,68726.0,1041.0,36.9,46.7,20.3,45.0,14.7,35.4,1.7,15.2,24.8,1.7,11.8,74.7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eastwood, Raleigh, NC",0.023,40,3.6,1.0,1.6,21.0,42.2,27.7,29928.0,737.0,24.2,67.6,15.1,32.1,7.6,19.6,0.5,24.4,25.2,5.3,13.2,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ebenezer Park, Raleigh, NC",0.013,3,21.0,1.7,1.7,2.0,36.7,30.7,65332.0,853.0,48.6,38.8,44.7,37.7,11.4,30.3,1.1,12.6,39.9,0.0,7.8,96.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Croft, Raleigh, NC",0.038,24,28.0,2.0,1.7,8.0,55.2,49.4,90982.0,1215.0,36.9,42.8,32.5,31.9,18.9,39.2,1.4,30.6,14.0,0.0,17.2,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eden Forest, Raleigh, NC",0.039,57,1.6,0.8,1.6,28.0,54.9,36.9,81406.0,751.0,42.6,43.0,27.1,32.9,11.6,31.2,2.7,9.2,19.4,0.0,7.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
